user_id	Action	Adventure	Animation	Children	Comedy	Crime	Documentary	Drama	Fantasy	Film-Noir	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western	label
1	0.12798634812286688	0.07167235494880546	0.020477815699658702	0.042662116040955635	0.1552901023890785	0.042662116040955635	0.008532423208191127	0.1825938566552901	0.0034129692832764505	0.0017064846416382253	0.02218430034129693	0.02218430034129693	0.008532423208191127	0.07508532423208192	0.07337883959044368	0.08873720136518772	0.042662116040955635	0.010238907849829351	6
2	0.08130081300813008	0.024390243902439025	0.008130081300813009	0.032520325203252036	0.13008130081300814	0.07317073170731707	0.0	0.2845528455284553	0.008130081300813009	0.016260162601626018	0.016260162601626018	0.008130081300813009	0.032520325203252036	0.13008130081300814	0.032520325203252036	0.0975609756097561	0.024390243902439025	0.0	3
3	0.11475409836065574	0.03278688524590164	0.0	0.0	0.09836065573770492	0.08196721311475409	0.00819672131147541	0.18032786885245902	0.0	0.01639344262295082	0.040983606557377046	0.01639344262295082	0.09016393442622951	0.040983606557377046	0.06557377049180328	0.1721311475409836	0.040983606557377046	0.0	16
4	0.14285714285714285	0.07142857142857142	0.0	0.0	0.07142857142857142	0.07142857142857142	0.017857142857142856	0.10714285714285714	0.0	0.0	0.017857142857142856	0.017857142857142856	0.08928571428571429	0.05357142857142857	0.10714285714285714	0.19642857142857142	0.03571428571428571	0.0	13
5	0.1462140992167102	0.08616187989556136	0.03655352480417755	0.07571801566579635	0.21409921671018275	0.02349869451697128	0.0	0.07049608355091384	0.005221932114882507	0.0026109660574412533	0.0731070496083551	0.031331592689295036	0.007832898172323759	0.04960835509138381	0.08616187989556136	0.04960835509138381	0.03655352480417755	0.005221932114882507	1
6	0.06188118811881188	0.054455445544554455	0.024752475247524754	0.04950495049504951	0.16336633663366337	0.034653465346534656	0.0024752475247524753	0.25742574257425743	0.007425742574257425	0.01485148514851485	0.009900990099009901	0.03217821782178218	0.0297029702970297	0.10148514851485149	0.03217821782178218	0.0594059405940594	0.05198019801980198	0.012376237623762377	7
7	0.11515151515151516	0.0703030303030303	0.01575757575757576	0.04363636363636364	0.10666666666666667	0.03878787878787879	0.006060606060606061	0.17696969696969697	0.008484848484848486	0.013333333333333334	0.05696969696969697	0.03151515151515152	0.025454545454545455	0.06787878787878789	0.05818181818181818	0.09333333333333334	0.0496969696969697	0.02181818181818182	9
8	0.2532467532467532	0.11038961038961038	0.0	0.01948051948051948	0.06493506493506493	0.05844155844155844	0.0	0.11038961038961038	0.0	0.006493506493506494	0.006493506493506494	0.0	0.006493506493506494	0.045454545454545456	0.11038961038961038	0.11688311688311688	0.07142857142857142	0.01948051948051948	15
9	0.08163265306122448	0.061224489795918366	0.0	0.0	0.12244897959183673	0.0	0.0	0.22448979591836735	0.0	0.02040816326530612	0.02040816326530612	0.0	0.02040816326530612	0.16326530612244897	0.08163265306122448	0.10204081632653061	0.10204081632653061	0.0	7
10	0.0708215297450425	0.039660056657223795	0.019830028328611898	0.0226628895184136	0.13314447592067988	0.0453257790368272	0.0084985835694051	0.22946175637393768	0.0028328611898017	0.025495750708215296	0.0169971671388102	0.039660056657223795	0.042492917847025496	0.10198300283286119	0.0339943342776204	0.09631728045325778	0.056657223796033995	0.014164305949008499	7
11	0.08991825613079019	0.043596730245231606	0.0	0.01634877384196185	0.2016348773841962	0.03814713896457766	0.0	0.22343324250681199	0.005449591280653951	0.0027247956403269754	0.013623978201634877	0.0027247956403269754	0.0326975476839237	0.11444141689373297	0.06267029972752043	0.08991825613079019	0.04904632152588556	0.013623978201634877	4
12	0.125	0.0625	0.008928571428571428	0.026785714285714284	0.11607142857142858	0.017857142857142856	0.0	0.21428571428571427	0.0	0.0	0.008928571428571428	0.026785714285714284	0.026785714285714284	0.11607142857142858	0.0625	0.10714285714285714	0.0625	0.017857142857142856	0
13	0.12273800157356413	0.057435090479937057	0.012588512981904013	0.040912667191188044	0.14791502753737215	0.03540519276160504	0.010228166797797011	0.17151848937844216	0.00944138473642801	0.011014948859166011	0.059008654602675056	0.024390243902439025	0.025963808025177025	0.08261211644374508	0.05114083398898505	0.0952006294256491	0.03225806451612903	0.010228166797797011	6
